#	X	Y
	0	0.835235
	0.05	0.840104
	0.1	0.845368
	0.15	0.851039
	0.2	0.857125
	0.25	0.863636
	0.3	0.870579
	0.35	0.877964
	0.4	0.885796
	0.45	0.894084
	0.5	0.902834
	0.55	0.91205
	0.6	0.921738
	0.65	0.931901
	0.7	0.942542
	0.75	0.953664
	0.8	0.965266
	0.85	0.97735
	0.9	0.989913
	0.95	1.00295
	1	1.01647
	1.05	1.03045
	1.1	1.04489
	1.15	1.05979
	1.2	1.07513
	1.25	1.09091
	1.3	1.1071
	1.35	1.12371
	1.4	1.1407
	1.45	1.15807
	1.5	1.17579
	1.55	1.19385
	1.6	1.21222
	1.65	1.23088
	1.7	1.2498
	1.75	1.26896
	1.8	1.28833
	1.85	1.30787
	1.9	1.32757
	1.95	1.34738
	2	1.36728
	2.05	1.38724
	2.1	1.40721
	2.15	1.42716
	2.2	1.44706
	2.25	1.46688
	2.3	1.48658
	2.35	1.50612
	2.4	1.52548
	2.45	1.54462
	2.5	1.56351
	2.55	1.58211
	2.6	1.6004
	2.65	1.61835
	2.7	1.63594
	2.75	1.65313
	2.8	1.66991
	2.85	1.68626
	2.9	1.70216
	2.95	1.71758
	3	1.73253
	3.05	1.74698
	3.1	1.76093
	3.15	1.77437
	3.2	1.7873
	3.25	1.79971
	3.3	1.8116
	3.35	1.82298
	3.4	1.83385
	3.45	1.84421
	3.5	1.85408
	3.55	1.86345
	3.6	1.87235
	3.65	1.88077
	3.7	1.88874
	3.75	1.89627
	3.8	1.90337
	3.85	1.91005
	3.9	1.91634
	3.95	1.92224
	4	1.92778
	4.05	1.93297
	4.1	1.93782
	4.15	1.94236
	4.2	1.94659
	4.25	1.95054
	4.3	1.95421
	4.35	1.95764
	4.4	1.96082
	4.45	1.96377
	4.5	1.96651
	4.55	1.96905
	4.6	1.97141
	4.65	1.97359
	4.7	1.97561
	4.75	1.97747
	4.8	1.97919
	4.85	1.98079
	4.9	1.98226
	4.95	1.98361


#	X	Y
	0	1
	0.05	1
	0.1	1
	0.15	1
	0.2	1
	0.25	1
	0.3	1
	0.35	1
	0.4	1
	0.45	1
	0.5	1
	0.55	1
	0.6	1
	0.65	1
	0.7	1
	0.75	1
	0.8	1
	0.85	1
	0.9	1
	0.95	1
	1	1
	1.05	1
	1.1	1
	1.15	1
	1.2	1
	1.25	1
	1.3	1
	1.35	1
	1.4	1
	1.45	1
	1.5	1
	1.55	1
	1.6	1
	1.65	1
	1.7	1
	1.75	1
	1.8	1
	1.85	1
	1.9	1
	1.95	1
	2	1
	2.05	1
	2.1	1
	2.15	1
	2.2	1
	2.25	1
	2.3	1
	2.35	1
	2.4	1
	2.45	1
	2.5	1
	2.55	2
	2.6	2
	2.65	2
	2.7	2
	2.75	2
	2.8	2
	2.85	2
	2.9	2
	2.95	2
	3	2
	3.05	2
	3.1	2
	3.15	2
	3.2	2
	3.25	2
	3.3	2
	3.35	2
	3.4	2
	3.45	2
	3.5	2
	3.55	2
	3.6	2
	3.65	2
	3.7	2
	3.75	2
	3.8	2
	3.85	2
	3.9	2
	3.95	2
	4	2
	4.05	2
	4.1	2
	4.15	2
	4.2	2
	4.25	2
	4.3	2
	4.35	2
	4.4	2
	4.45	2
	4.5	2
	4.55	2
	4.6	2
	4.65	2
	4.7	2
	4.75	2
	4.8	2
	4.85	2
	4.9	2
	4.95	2
